Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,BMI_Calc,Weekly_Calories,Monthly_Calories,Monthly_Fat_Loss_kg,Current_Fat_kg,Target_Fat_kg,Fat_kg_To_Lose,Months_To_Target
19,Female,64.0,1.53,166,167,58,1.33,1111,HIIT,29.8,2.3,3,2,27.34,27.339911999658252,3333,13332,1.7314285714285715,19.072,9.6,9.472,5.47062706270627
47,Female,66.8,1.75,199,146,56,1.13,742,Strength,32.8,2.5,3,2,21.81,21.812244897959182,2226,8904,1.1563636363636363,21.910399999999996,10.02,11.890399999999996,10.282578616352199
55,Female,75.2,1.67,188,167,51,1.37,1030,HIIT,25.2,2.2,2,1,26.96,26.964035999856577,2060,8240,1.07012987012987,18.950400000000002,11.28,7.6704000000000025,7.167728155339809
19,Male,89.0,1.77,175,127,72,1.5,1048,Strength,28.9,3.7,4,2,28.41,28.40818411056848,4192,16768,2.177662337662338,25.720999999999997,13.35,12.370999999999997,5.680862356870227
38,Male,71.9,1.77,197,142,72,1.12,875,Cardio,25.7,3.1,2,1,22.95,22.949982444380606,1750,7000,0.9090909090909091,18.4783,10.785,7.693300000000001,8.46263
50,Female,71.0,1.68,187,161,70,1.17,848,Yoga,33.1,2.5,2,1,25.16,25.15589569160998,1696,6784,0.8810389610389611,23.501,10.65,12.851,14.586188089622642
29,Male,120.9,1.78,197,168,65,0.78,721,Yoga,28.1,3.4,2,1,38.16,38.158060850902665,1442,5768,0.7490909090909091,33.9729,18.135,15.837900000000001,21.142827669902914
39,Female,64.3,1.69,190,148,58,1.25,925,HIIT,26.9,1.9,4,2,22.51,22.51321732432338,3700,14800,1.922077922077922,17.296699999999998,9.645,7.651699999999998,3.980952027027026
42,Female,63.7,1.71,173,169,62,1.42,1080,Yoga,26.1,1.8,3,2,21.78,21.784480694914677,3240,12960,1.683116883116883,16.625700000000002,9.555,7.070700000000002,4.20095601851852
44,Male,65.2,1.8,192,139,68,0.73,502,HIIT,27.2,2.7,2,1,20.12,20.123456790123456,1004,4016,0.5215584415584416,17.7344,9.78,7.9544000000000015,15.251215139442234
59,Male,53.9,1.75,168,135,69,1.48,989,Strength,21.6,2.8,4,2,17.6,17.599999999999998,3956,15824,2.055064935064935,11.6424,8.084999999999999,3.5574000000000012,1.7310401921132463
33,Female,78.0,1.68,183,135,55,1.29,871,HIIT,32.3,1.8,3,2,27.64,27.636054421768712,2613,10452,1.3574025974025974,25.193999999999996,11.7,13.493999999999996,9.9410447761194
32,Male,108.2,1.8,172,138,53,1.27,964,HIIT,28.4,3.5,3,1,33.4,33.39506172839506,2892,11568,1.5023376623376623,30.7288,16.23,14.4988,9.65082641770401
20,Female,65.4,1.52,185,127,50,1.03,654,Yoga,28.0,2.2,4,2,28.31,28.30678670360111,2616,10464,1.358961038961039,18.312000000000005,9.81,8.502000000000004,6.256250000000003
54,Female,50.2,1.61,188,157,67,1.48,1046,HIIT,28.2,2.7,2,1,19.37,19.36653678484626,2092,8368,1.0867532467532468,14.1564,7.53,6.626399999999999,6.097428298279158
24,Female,58.9,1.51,187,157,68,1.04,816,Cardio,31.7,2.5,2,1,25.83,25.832200342090257,1632,6528,0.8477922077922078,18.6713,8.834999999999999,9.8363,11.602253370098039
26,Male,127.6,1.73,167,160,62,1.32,1162,Strength,27.3,2.9,3,1,42.63,42.63423435463931,3486,13944,1.8109090909090908,34.8348,19.139999999999997,15.694800000000004,8.666807228915665
56,Female,59.3,1.56,182,155,57,1.26,879,Cardio,33.4,2.6,4,2,24.37,24.367192636423404,3516,14064,1.8264935064935064,19.806199999999997,8.895,10.911199999999997,5.973850967007962
35,Male,96.9,1.71,188,145,72,1.34,1069,Strength,24.2,2.9,3,2,33.14,33.138401559454195,3207,12828,1.6659740259740259,23.4498,14.535,8.9148,5.35110383536015
21,Male,62.6,1.81,164,150,62,1.3,1072,Strength,27.6,3.5,4,2,19.11,19.10808583376576,4288,17152,2.2275324675324675,17.277600000000003,9.39,7.887600000000003,3.5409584888059715
42,Male,45.5,1.6,166,163,64,1.31,1057,Strength,21.7,2.6,3,2,17.77,17.773437499999996,3171,12684,1.6472727272727272,9.8735,6.825,3.0484999999999998,1.8506346578366446
31,Female,48.8,1.51,195,131,60,1.48,969,Cardio,28.2,2.0,2,1,21.4,21.402570062716546,1938,7752,1.0067532467532467,13.761599999999998,7.319999999999999,6.441599999999998,6.398390092879255
26,Female,44.3,1.6,186,136,61,1.08,734,Cardio,34.7,2.0,3,1,17.3,17.304687499999996,2202,8808,1.143896103896104,15.3721,6.645,8.7271,7.629276793823796
43,Male,113.2,1.83,161,134,63,1.45,962,Yoga,29.9,2.9,4,2,33.8,33.802143987578006,3848,15392,1.998961038961039,33.8468,16.98,16.8668,8.437783264033264
19,Female,60.5,1.59,184,128,53,1.14,730,Cardio,30.1,2.2,2,1,23.93,23.93101538704956,1460,5840,0.7584415584415585,18.2105,9.075,9.1355,12.045094178082191
37,Male,124.2,1.76,168,158,50,1.5,1304,HIIT,29.3,2.8,2,1,40.1,40.09555785123967,2608,10432,1.354805194805195,36.3906,18.63,17.7606,13.109338573619631
45,Male,52.4,1.85,186,161,73,1.2,956,Strength,25.2,2.5,3,1,15.31,15.310445580715848,2868,11472,1.4898701298701298,13.2048,7.859999999999999,5.344800000000001,3.587426778242679
24,Male,54.7,1.74,160,167,53,0.84,772,Yoga,22.9,3.6,3,1,18.07,18.06711586735368,2316,9264,1.203116883116883,12.526299999999999,8.205,4.321299999999999,3.5917541018998267
25,Male,88.1,1.95,182,131,68,1.41,1016,Cardio,22.7,3.0,2,1,23.17,23.1689677843524,2032,8128,1.0555844155844156,19.998699999999996,13.214999999999998,6.783699999999998,6.426487450787399
52,Female,59.7,1.71,169,151,58,1.23,836,Strength,34.3,2.0,3,1,20.42,20.41653842207859,2508,10032,1.302857142857143,20.4771,8.955,11.5221,8.843717105263158
31,Female,79.7,1.54,184,144,59,1.03,742,Cardio,26.7,2.3,4,2,33.61,33.60600438522517,2968,11872,1.5418181818181818,21.2799,11.955,9.324900000000001,6.047989386792454
34,Female,51.0,1.62,162,158,53,1.42,1122,Yoga,30.8,2.4,3,2,19.43,19.43301326017375,3366,13464,1.7485714285714287,15.708,7.6499999999999995,8.058,4.608333333333333
57,Male,122.1,1.89,165,134,58,1.13,750,Cardio,27.4,3.6,3,1,34.18,34.181573864113545,2250,9000,1.1688311688311688,33.4554,18.314999999999998,15.1404,12.953453333333334
21,Male,96.7,1.72,161,151,62,1.26,1046,Strength,25.0,2.8,3,1,32.69,32.68658734451055,3138,12552,1.63012987012987,24.175,14.504999999999999,9.670000000000002,5.932042702358191
19,Female,73.0,1.79,177,125,61,0.81,506,HIIT,27.7,1.6,3,1,22.78,22.783308885490467,1518,6072,0.7885714285714286,20.220999999999997,10.95,9.270999999999997,11.75670289855072
23,Male,114.8,1.6,182,163,60,1.47,1318,Cardio,21.7,2.7,4,2,44.84,44.84374999999999,5272,21088,2.7387012987012986,24.9116,17.22,7.691600000000001,2.8084844461305014
59,Female,65.5,1.52,161,162,61,1.4,1021,Yoga,31.2,2.1,3,2,28.35,28.350069252077564,3063,12252,1.5911688311688312,20.436,9.825,10.611,6.668682664054848
21,Female,50.3,1.52,171,154,67,1.08,832,Cardio,32.2,2.6,3,1,21.77,21.77112188365651,2496,9984,1.2966233766233766,16.1966,7.544999999999999,8.651600000000002,6.672407852564104
35,Female,44.6,1.62,196,157,65,0.56,440,HIIT,32.4,2.0,2,1,16.99,16.99436061575979,880,3520,0.45714285714285713,14.4504,6.69,7.7604,16.975875
43,Female,58.2,1.61,179,124,54,1.04,580,Strength,26.4,2.6,3,2,22.45,22.452837467690287,1740,6960,0.9038961038961039,15.3648,8.73,6.6348,7.340224137931035
51,Female,44.8,1.63,198,137,69,1.08,666,Yoga,33.8,2.1,4,2,16.86,16.861756182016634,2664,10656,1.383896103896104,15.142399999999997,6.72,8.422399999999996,6.086006006006003
53,Male,51.8,1.74,179,127,61,1.23,773,Strength,21.3,3.7,3,2,17.11,17.10926146122341,2319,9276,1.2046753246753246,11.033399999999999,7.77,3.263399999999999,2.708945666235446
25,Female,65.4,1.77,160,141,58,0.89,627,Cardio,27.6,2.6,3,1,20.88,20.875227425069426,1881,7524,0.9771428571428571,18.050400000000003,9.81,8.240400000000003,8.433157894736846
40,Male,106.5,1.65,162,162,74,1.32,1176,HIIT,21.0,3.6,4,2,39.12,39.11845730027549,4704,18816,2.443636363636364,22.365,15.975,6.389999999999999,2.6149553571428563
38,Female,61.4,1.54,183,131,69,1.47,963,HIIT,30.6,2.7,3,2,25.89,25.889694720863552,2889,11556,1.5007792207792208,18.7884,9.209999999999999,9.5784,6.3822845275181725
33,Female,40.5,1.63,181,147,66,1.07,786,Yoga,31.9,1.5,4,2,15.24,15.243328691332005,3144,12576,1.6332467532467532,12.919500000000001,6.075,6.844500000000001,4.190732347328245
35,Male,70.1,1.79,185,125,63,1.08,743,Cardio,28.0,2.3,3,2,21.88,21.878218532505226,2229,8916,1.157922077922078,19.628,10.514999999999999,9.113000000000001,7.870132346343652
41,Male,94.1,1.62,172,139,50,1.13,777,Cardio,23.4,3.1,4,2,35.86,35.85581466239901,3108,12432,1.6145454545454545,22.019399999999997,14.114999999999998,7.904399999999999,4.895743243243243
43,Male,55.5,1.82,160,124,66,1.08,663,Strength,20.1,2.0,3,1,16.76,16.755222799178842,1989,7956,1.0332467532467533,11.1555,8.325,2.8305000000000007,2.7394230769230776
42,Female,53.7,1.72,183,142,74,1.37,875,Cardio,29.8,1.6,3,1,18.15,18.151703623580318,2625,10500,1.3636363636363635,16.0026,8.055,7.947600000000001,5.828240000000001
58,Female,66.1,1.75,169,128,57,0.63,363,Cardio,25.2,1.8,2,1,21.58,21.583673469387755,726,2904,0.37714285714285717,16.6572,9.915,6.7422,17.877045454545453
46,Male,103.9,1.77,194,148,54,1.18,864,Yoga,20.9,2.9,2,1,33.16,33.164161000989495,1728,6912,0.8976623376623377,21.7151,15.585,6.130099999999999,6.828959780092591
18,Female,52.3,1.74,187,165,58,1.2,990,Cardio,29.4,2.2,2,1,17.27,17.27440877262518,1980,7920,1.0285714285714285,15.376199999999999,7.844999999999999,7.5312,7.322000000000001
24,Female,72.9,1.76,175,127,68,0.86,546,Yoga,30.8,1.5,3,1,23.53,23.53434917355372,1638,6552,0.850909090909091,22.453200000000002,10.935,11.518200000000002,13.536346153846155
26,Female,76.7,1.63,199,139,72,1.08,751,Strength,25.6,1.7,2,1,28.87,28.86822989197938,1502,6008,0.7802597402597402,19.6352,11.505,8.1302,10.419863515312917
41,Male,72.1,1.83,175,133,58,1.13,744,Yoga,21.4,2.8,3,2,21.53,21.529457433784223,2232,8928,1.1594805194805196,15.4294,10.815,4.6144,3.979713261648745
18,Female,54.8,1.68,176,158,71,1.27,1003,Strength,32.0,2.2,4,2,19.42,19.41609977324263,4012,16048,2.0841558441558443,17.535999999999998,8.219999999999999,9.315999999999999,4.4699152542372875
25,Male,105.0,1.88,174,156,67,1.34,1150,Cardio,21.4,2.3,3,2,29.71,29.708012675418743,3450,13800,1.7922077922077921,22.47,15.75,6.719999999999999,3.7495652173913037
41,Female,55.0,1.55,175,169,65,1.45,1103,Strength,31.4,2.0,4,2,22.89,22.892819979188342,4412,17648,2.2919480519480517,17.27,8.25,9.02,3.9355167724388034
28,Male,81.6,1.66,174,153,50,1.09,917,Yoga,20.5,3.5,4,2,29.61,29.612425606038613,3668,14672,1.9054545454545455,16.727999999999998,12.239999999999998,4.4879999999999995,2.3553435114503816
52,Male,74.0,1.63,174,150,50,1.26,936,Cardio,25.7,3.7,3,2,27.85,27.85200797922391,2808,11232,1.4587012987012986,19.018,11.1,7.918000000000001,5.4281160968660975
50,Female,56.4,1.59,185,163,74,1.26,924,HIIT,34.3,2.6,3,1,22.31,22.309244096356945,2772,11088,1.44,19.3452,8.459999999999999,10.8852,7.559166666666666
22,Male,102.6,1.84,163,153,65,1.25,1052,Strength,20.5,2.7,3,2,30.3,30.304820415879014,3156,12624,1.6394805194805195,21.032999999999998,15.389999999999999,5.642999999999999,3.441943916349809
59,Female,54.6,1.57,164,169,64,0.58,441,Cardio,29.2,2.3,3,1,22.15,22.151000040569595,1323,5292,0.6872727272727273,15.9432,8.19,7.7532,11.28111111111111
56,Male,129.0,1.78,194,126,64,1.29,805,Yoga,27.1,2.7,2,1,40.71,40.714556242898624,1610,6440,0.8363636363636363,34.959,19.349999999999998,15.609000000000005,18.662934782608705
58,Male,103.5,1.66,172,168,61,1.33,1106,Cardio,24.6,3.1,3,1,37.56,37.5598780664828,3318,13272,1.7236363636363636,25.461000000000002,15.524999999999999,9.936000000000003,5.764556962025319
45,Female,59.4,1.51,169,142,65,1.15,735,Strength,33.1,1.9,4,2,26.05,26.051488969782028,2940,11760,1.5272727272727273,19.6614,8.91,10.7514,7.039607142857143
26,Male,77.7,1.62,177,126,73,1.16,804,Yoga,29.6,3.0,3,2,29.61,29.606767261088244,2412,9648,1.252987012987013,22.999200000000005,11.655,11.344200000000006,9.053725124378113
25,Female,41.2,1.62,193,144,64,1.49,1073,Yoga,28.9,2.1,4,2,15.7,15.698826398414873,4292,17168,2.22961038961039,11.9068,6.180000000000001,5.7268,2.5685205032618823
29,Male,58.6,1.61,198,122,72,1.2,805,Yoga,23.4,2.0,3,2,22.61,22.607152501832488,2415,9660,1.2545454545454546,13.712399999999999,8.79,4.9224,3.9236521739130428
51,Male,109.3,1.78,182,157,64,0.54,420,Strength,28.7,3.3,3,1,34.5,34.4969069561924,1260,5040,0.6545454545454545,31.369099999999996,16.395,14.974099999999996,22.87709722222222
50,Male,69.6,1.96,166,139,68,0.97,667,Strength,25.6,2.0,3,1,18.12,18.117451062057476,2001,8004,1.0394805194805194,17.8176,10.44,7.377599999999999,7.097391304347825
41,Male,71.7,1.96,162,168,51,0.51,424,Yoga,27.3,2.5,2,1,18.66,18.664098292378178,848,3392,0.44051948051948053,19.5741,10.755,8.8191,20.01977299528302
52,Female,79.4,1.59,166,163,59,1.39,1020,Strength,26.6,1.5,3,2,31.41,31.406985483169176,3060,12240,1.5896103896103897,21.120400000000004,11.91,9.210400000000003,5.794124183006538
57,Female,78.4,1.62,185,149,52,1.01,677,Strength,31.7,2.0,4,2,29.87,29.873494894071023,2708,10832,1.4067532467532466,24.852800000000002,11.76,13.092800000000002,9.307104874446088
39,Female,55.4,1.6,192,136,72,1.44,979,HIIT,26.3,1.6,3,2,21.64,21.640624999999996,2937,11748,1.5257142857142858,14.5702,8.309999999999999,6.260200000000001,4.103127340823971
44,Female,61.7,1.55,196,129,66,1.41,819,Strength,33.1,2.6,4,2,25.68,25.681581685744014,3276,13104,1.701818181818182,20.422700000000003,9.255,11.167700000000002,6.562216880341881
52,Male,82.4,1.72,166,137,53,1.01,685,Strength,24.4,2.7,4,2,27.85,27.852893455922125,2740,10960,1.4233766233766234,20.105600000000003,12.360000000000001,7.745600000000001,5.441708029197081
54,Male,67.0,1.68,191,164,63,0.55,446,Yoga,20.5,2.8,3,1,23.74,23.738662131519277,1338,5352,0.695064935064935,13.735,10.049999999999999,3.6850000000000005,5.30166292974589
31,Female,42.3,1.6,163,163,70,1.09,888,Cardio,25.1,1.9,3,2,16.52,16.523437499999996,2664,10656,1.383896103896104,10.6173,6.345,4.2723,3.0871537162162164
18,Male,92.4,1.74,195,168,50,1.41,1303,Yoga,21.3,3.1,2,1,30.52,30.519223147047168,2606,10424,1.3537662337662337,19.6812,13.860000000000001,5.821199999999999,4.300003837298541
22,Female,63.2,1.54,191,155,53,1.02,790,Cardio,29.5,2.4,4,2,26.65,26.648675999325352,3160,12640,1.6415584415584417,18.644,9.48,9.163999999999998,5.582499999999999
43,Male,82.7,1.85,187,142,50,1.22,858,Yoga,28.2,3.1,4,2,24.16,24.163623082542,3432,13728,1.782857142857143,23.321399999999997,12.405,10.916399999999998,6.122980769230768
31,Male,86.6,1.76,172,151,66,1.29,1071,Strength,28.9,3.3,3,2,27.96,27.957128099173552,3213,12852,1.6690909090909092,25.027399999999997,12.989999999999998,12.037399999999998,7.211949891067537
56,Male,129.5,1.95,160,129,66,1.0,639,Strength,25.2,3.5,2,1,34.06,34.05654174884944,1278,5112,0.6638961038961039,32.634,19.425,13.209,19.89618544600939
44,Male,98.0,1.83,194,130,56,1.28,824,Cardio,25.7,3.5,4,2,29.26,29.26334020126011,3296,13184,1.7122077922077923,25.186,14.7,10.486,6.124256674757282
32,Male,78.6,1.62,195,125,69,1.28,880,Yoga,29.6,3.1,3,1,29.95,29.949702789208953,2640,10560,1.3714285714285714,23.265600000000003,11.79,11.475600000000004,8.367625000000002
32,Female,59.0,1.66,184,160,64,0.51,408,Cardio,31.0,1.8,2,1,21.41,21.410944984758313,816,3264,0.4238961038961039,18.29,8.85,9.44,22.269607843137255
59,Male,122.3,1.89,178,153,51,0.66,500,Yoga,20.1,3.1,3,1,34.24,34.23756333809244,1500,6000,0.7792207792207793,24.5823,18.345,6.237300000000001,8.004535
56,Male,55.6,1.92,181,136,62,0.68,458,Strength,29.4,3.2,3,1,15.08,15.082465277777779,1374,5496,0.7137662337662337,16.3464,8.34,8.0064,11.21711790393013
47,Female,58.5,1.79,195,131,71,1.42,837,Yoga,30.3,2.4,4,2,18.26,18.257857120564278,3348,13392,1.7392207792207792,17.7255,8.775,8.9505,5.146270161290323
54,Male,86.1,1.95,195,140,64,1.17,811,Yoga,27.9,3.4,2,1,22.64,22.642998027613412,1622,6488,0.8425974025974026,24.021899999999995,12.915,11.106899999999996,13.181740135635014
40,Female,63.5,1.61,163,159,59,1.31,1041,Cardio,33.4,1.6,3,2,24.5,24.497511670074456,3123,12492,1.6223376623376624,21.208999999999996,9.525,11.683999999999996,7.201953250080048
56,Male,69.3,1.68,195,138,58,0.66,451,Yoga,26.5,2.1,2,1,24.55,24.55357142857143,902,3608,0.4685714285714286,18.3645,10.395,7.9695,17.008079268292683
32,Female,70.5,1.62,177,122,58,1.24,756,Strength,28.4,1.8,2,1,26.86,26.86328303612254,1512,6048,0.7854545454545454,20.022,10.575,9.447,12.027430555555556
53,Male,94.1,1.95,177,138,50,0.89,608,HIIT,28.6,3.5,3,1,24.75,24.746877054569364,1824,7296,0.9475324675324676,26.9126,14.114999999999998,12.797600000000003,13.506239035087722
30,Female,79.2,1.62,181,166,66,1.26,1046,Cardio,28.0,2.5,4,2,30.18,30.178326474622764,4184,16736,2.1735064935064936,22.176000000000002,11.88,10.296000000000001,4.7370458891013385
49,Male,115.3,1.91,161,125,61,1.38,854,HIIT,29.2,3.2,2,1,31.61,31.60549327046956,1708,6832,0.8872727272727273,33.6676,17.294999999999998,16.372600000000002,18.452725409836066
24,Female,62.9,1.79,180,135,59,1.42,958,Cardio,27.3,2.3,4,2,19.63,19.631097656128087,3832,15328,1.9906493506493506,17.1717,9.434999999999999,7.736700000000003,3.886520746346557
39,Male,62.0,1.64,195,127,54,0.97,678,Cardio,27.5,3.2,3,1,23.05,23.051754907792983,2034,8136,1.0566233766233766,17.05,9.299999999999999,7.750000000000002,7.334685349065882
19,Female,73.9,1.77,198,137,64,1.28,877,Strength,32.5,2.6,3,2,23.59,23.58836860416866,2631,10524,1.3667532467532468,24.017500000000002,11.085,12.932500000000001,9.462205435195743
23,Male,83.1,1.8,185,162,56,0.7,624,Strength,29.3,3.1,3,1,25.65,25.648148148148145,1872,7488,0.9724675324675325,24.3483,12.464999999999998,11.8833,12.219739583333334
45,Female,65.1,1.78,180,158,66,1.46,1038,Cardio,31.3,2.3,3,1,20.55,20.546648150486046,3114,12456,1.6176623376623376,20.376299999999997,9.764999999999999,10.611299999999998,6.559650770712909
37,Male,103.5,1.89,175,168,57,0.54,499,Cardio,26.4,3.1,2,1,28.97,28.974552784076597,998,3992,0.5184415584415585,27.324,15.524999999999999,11.799000000000003,22.75859218436874
28,Female,52.0,1.61,168,164,70,1.32,1082,Yoga,27.9,2.0,3,2,20.06,20.060954438486167,3246,12984,1.6862337662337663,14.508,7.8,6.707999999999999,3.9780961182994448
45,Male,113.4,1.71,190,129,63,0.83,530,Strength,24.0,2.3,2,1,38.78,38.78116343490305,1060,4240,0.5506493506493506,27.216,17.01,10.206,18.534481132075474
42,Male,62.9,1.98,173,126,61,1.42,886,Yoga,28.5,3.4,4,2,16.04,16.044281195796348,3544,14176,1.841038961038961,17.926499999999997,9.434999999999999,8.491499999999998,4.612341281038374
50,Female,67.1,1.75,161,120,59,0.67,362,Cardio,31.8,2.7,3,1,21.91,21.910204081632653,1086,4344,0.5641558441558442,21.337799999999998,10.065,11.272799999999998,19.981712707182318
18,Male,70.0,1.61,173,168,71,1.3,1201,Strength,23.9,2.5,2,1,27.01,27.005130974885226,2402,9608,1.247792207792208,16.73,10.5,6.23,4.99281848459617
44,Female,69.5,1.75,192,155,69,1.02,711,HIIT,27.6,2.1,3,1,22.69,22.693877551020407,2133,8532,1.108051948051948,19.182000000000002,10.424999999999999,8.757000000000003,7.903059071729961
30,Male,107.9,1.66,194,140,64,1.08,832,Cardio,29.5,2.8,3,2,39.16,39.156626506024104,2496,9984,1.2966233766233766,31.8305,16.185,15.645500000000002,12.066341145833336
58,Male,109.0,1.91,198,156,56,1.49,1151,Yoga,26.0,2.2,3,2,29.88,29.878566925248762,3453,13812,1.7937662337662337,28.34,16.349999999999998,11.990000000000002,6.684260063712715
20,Male,101.0,1.91,179,143,58,1.36,1070,Cardio,29.3,2.7,3,2,27.69,27.685644582111237,3210,12840,1.6675324675324674,29.593,15.149999999999999,14.443000000000001,8.661300623052961
25,Female,43.1,1.62,196,161,65,1.04,837,HIIT,33.6,1.8,4,2,16.42,16.422801402225268,3348,13392,1.7392207792207792,14.481600000000002,6.465,8.016600000000002,4.609305555555557
26,Female,54.0,1.53,175,148,54,1.14,844,Strength,26.9,1.7,3,1,23.07,23.06805074971165,2532,10128,1.3153246753246752,14.525999999999998,8.1,6.425999999999998,4.88548578199052
54,Female,72.3,1.78,163,149,72,1.27,852,Cardio,27.7,1.8,2,1,22.82,22.819088498926902,1704,6816,0.8851948051948052,20.027099999999997,10.844999999999999,9.182099999999998,10.372970950704223
59,Male,89.4,1.72,188,152,67,1.08,813,Yoga,24.5,3.2,3,1,30.22,30.219037317468906,2439,9756,1.267012987012987,21.903000000000002,13.41,8.493000000000002,6.703167281672819
41,Male,51.5,1.8,166,126,60,1.09,680,Strength,26.7,2.1,4,2,15.9,15.89506172839506,2720,10880,1.412987012987013,13.7505,7.725,6.025500000000001,4.264370404411765
49,Female,42.0,1.52,171,130,70,1.1,644,HIIT,28.8,2.2,3,1,18.18,18.178670360110804,1932,7728,1.0036363636363637,12.096000000000002,6.3,5.796000000000002,5.775000000000002
49,Male,79.2,1.72,194,128,69,1.46,925,Yoga,29.9,3.3,3,1,26.77,26.771227690643595,2775,11100,1.4415584415584415,23.6808,11.88,11.8008,8.186140540540542
41,Male,64.8,1.71,164,131,54,1.2,778,Strength,22.5,2.8,3,2,22.16,22.1606648199446,2334,9336,1.2124675324675325,14.58,9.719999999999999,4.860000000000001,4.008354755784063
29,Female,56.2,1.77,191,123,61,0.68,418,Yoga,33.4,2.6,3,1,17.94,17.938651090044367,1254,5016,0.6514285714285715,18.770799999999998,8.43,10.340799999999998,15.874035087719294
56,Female,52.9,1.64,169,155,53,1.1,767,Cardio,27.4,2.3,3,2,19.67,19.668352171326593,2301,9204,1.1953246753246753,14.494599999999998,7.935,6.559599999999999,5.487714037375053
19,Female,49.0,1.69,176,147,64,1.05,772,Yoga,29.2,2.4,3,1,17.16,17.15626203564301,2316,9264,1.203116883116883,14.308,7.35,6.958,5.783311744386874
20,Male,128.2,1.84,164,132,58,0.83,603,HIIT,26.2,2.3,3,1,37.87,37.86625708884688,1809,7236,0.9397402597402598,33.5884,19.229999999999997,14.358400000000003,15.279115533443894
19,Male,87.8,1.78,195,161,72,1.28,1133,Cardio,23.6,3.3,2,1,27.71,27.71114758237596,2266,9064,1.177142857142857,20.7208,13.17,7.550800000000001,6.414514563106797
54,Male,114.9,1.92,188,135,71,1.2,802,HIIT,20.7,2.6,4,2,31.17,31.168619791666668,3208,12832,1.6664935064935065,23.784299999999998,17.235,6.549299999999999,3.929988310473815
49,Female,62.1,1.66,173,152,73,1.37,937,HIIT,31.3,1.8,3,2,22.54,22.53592683988968,2811,11244,1.4602597402597404,19.4373,9.315,10.122300000000001,6.931848986125934
50,Male,57.1,1.91,184,131,68,1.09,707,Yoga,29.5,2.7,4,2,15.65,15.651983224144075,2828,11312,1.469090909090909,16.8445,8.565,8.2795,5.6357982673267335
18,Male,68.1,1.8,174,153,50,1.1,926,Yoga,25.4,3.3,4,2,21.02,21.018518518518515,3704,14816,1.9241558441558442,17.2974,10.214999999999998,7.082400000000002,3.6807829373650116
36,Male,69.2,1.65,165,126,65,1.23,852,Strength,27.2,2.7,3,1,25.42,25.417814508723602,2556,10224,1.3277922077922077,18.822400000000002,10.38,8.442400000000001,6.35822378716745
